question,tag,correction
"In this code: worker = RolloutWorker( env_creator=lambda _: env, default_policy_class=CustomPolicy, ) How is the observation_space determined which is provided to the CustomPolicy?",rllib,
how does grpc ingress work with ray serve?,serve,
"MARWIL algorithm requires an offline_data json input for training. I'm attempting to generate this offline_data json with the following code: worker = RolloutWorker( env_creator=lambda _: env, default_policy_class=CustomPolicy, config=output_config ) sample_batch = worker.sample() sample_batch is a MultiAgentBatch. How do I create the json from this variable to be used as an input for the offline_data in MARWIL algorithm?",rllib,
how do I use feature enrichment for ray serve?,serve,
"Given this code: worker = RolloutWorker( env_creator=lambda _: env, default_policy_class=CustomPolicy, ) How do I modify the env config to output the data to a json file?",rllib,
"when using tune with ppo the reported max and min returns sometimes stay the same over multiple iterations, although this seems highly unlikely.",tune,rllib
can you do join operations on two ray dataframes,other,data
what are the different decorators to pass to @serve.deployment,serve,
where is the callback when I have tune.Tuner,tune,
"I have a VM cluster setup using the AWS cluster launcher and my own custom YAML config file. The Ray cluster is working great, but I'm no longer able to see my dashboard after running `ray dashboard my-custom-config.yaml`. I used to be able to see the dashboard at `127.0.0.1:8265` but now I just get a ""This site can't be reached"" error message. How can I debug this?",cluster,
How do I do a groupby and aggregate idxmax operation on a pandas df with ray?,other,data
Is it fast?,ray-core,other
"When submitting more than 10000 tasks, I notice some fall into an ""unaccounted"" state. What does this mean? And are the tasks actually executed or not?",ray-core,
"I use the class api, so how do I add mlflow?",other,tune
but I use tune.Trainable,tune,
how do I integrate mlflow in a tune.Trainable class,tune,
what is the difference between tune.run and tune.Tuner and tune.fit?,tune,
Give me an example of Ray unified ML API,cluster,other
I am not able to see the Ray dashboard after running `ray dashboard <cluster_config.yaml>`. How can I figure out what's going on? Is there a way to check whether the dashboard is running?,cluster,
How is `episode_reward_mean` in the tensorboard auto-generated by RLLib calculated?,rllib,
"why do I get the following error in RLLib? ErrorMessage ""RuntimeError: assigned grad has data of a different type""",ray-core,rllib
how does setup_mlflow work with tune.Trainable class?,tune,
How is `episode_reward_mean` calculated?,rllib,
Give me an example of Ray's unified ML API and runtime? How can I swap between popular frameworks,ray-core,other
where can i modify grad_clip_by,rllib,
What is this setting in the policy config for? _enable_rl_module_api,rllib,
"can you explain this statement regarding unstable training? ""Do you have a continuous action space? If so you can run into a problem where the variance of the actions become infinitesimal and blow up the log probability.""",tune,rllib
Can you tune Mask RCNN,tune,
What is the view_requirements attribute of the policy for?,rllib,
"I have a top level task that I want to run X times in parallel and within that top level task, I have a subtask that I also want to parallelize Y times. If the subtask takes 5 CPUs each run, do the the top-level tasks's resource requirements (in @ray.remote(n_cpus=*)) need to be 5 * Y?",ray-core,
what would happen if the number of incoming requests is lower than max_concurrent_queries?,ray-core,
how can I configure the size of the policy model?,rllib,
How to set weights on a worker from a saved pytorch model?,rllib,train
other than write_json from ds — is there a good util function to write a single file to any py arrow path? ie local: or gcs: or s3 ?,data,
what does serve.ingress do,serve,
I am trying to get stats with ds.stats after a ds.write_json but ds.stats is empty. Whats the issue?,cluster,data
what was the default behaviour of grad_clip before grad_clip_by was introduced?,rllib,
"How to get to working_dir location in my callback, so I can persist something there?",tune,
ray.remote options,ray-core,
"for ray data, what operation we have except read and map?",data,
"Why do I get the assertion error ""assert self.model_gpu_towers[0] is self.model""",rllib,
"If I'm running ray and have gpu workers, how do those workers need to be configured? Do I just have ""regular"" ray installed? Or is it something that uses cuda?",cluster,
"In your checkpoint example you save the state dict for torch, but what is the equivalent in spacy?",tune,train
what is cur_kl_coeff,ray-core,rllib
"Imagine I am using Ray tune in combination with pytorch lightning and wandb. How would I modify my code to name each individual trial with its position in the training (e..g, names would be trial_1, trial_2, etc.). Currently trials showing up in wandb are named as: ""TorchTrainer_743e62d2"", or ""TorchTrainer_63hdfdy6"".",tune,
how to distribute data across multiple nodes?,data,
how can i tell ray to run a worker setup function,ray-core,
what is a ray service?,cluster,
all this without registering the environment or the model ?,other,rllib
how to use a custom model for my algorithm,rllib,
implement action masking in rllib with torch,rllib,
how to specify working directory,cluster,ray-core
"If I use ray data, what if I give a very large file, can I split to muktiple and let multple task to hadnel>",ray-core,data
can I add runtime_env with working directory with filter,ray-core,
My function setup_wandb doesn't seem to call wandb.init() anymore. Have they been recent changes to that function ?,tune,
ray stress testing report,ray-core,
"what does this mean ValueError: It looks like you are still using `<models.fcnet_glorot_uniform_init.FullyConnectedNetwork_GlorotUniformInitializer object at 0x7fb7227d8a00>.register_variables()` to register your model's weights. This is no longer required, but if you are still calling this method at least once, you must make sure to register all created variables properl",rllib,
